product_id,sku,product_name,description,category_id,brand_id,supplier_id,price,cost,weight_kg,is_active,created_at,updated_at
50,SKU-000050,Básico Pack 50,Descripción detallada del producto 50,10,6,8,338.6,142.21,44.8,True,2022-08-24,2024-06-25
51,SKU-000051,Mini Producto 51,Descripción detallada del producto 51,10,8,6,462.38,226.57,7.7,True,2023-01-07,2024-08-28
52,SKU-000052,Premium Pack 52,Descripción detallada del producto 52,5,15,6,287.14,169.41,31.8,True,2023-02-14,2024-09-03
53,SKU-000053,Max Kit 53,Descripción detallada del producto 53,10,7,8,495.45,287.36,12.4,True,2023-11-15,2024-05-19
54,SKU-000054,Smart Set 54,Descripción detallada del producto 54,7,13,5,127.94,51.18,33.5,True,2023-12-29,2024-06-22
55,SKU-000055,Mini Producto 55,Descripción detallada del producto 55,7,3,8,317.52,209.56,33.9,True,2022-04-03,2025-04-14
56,SKU-000056,Básico Set 56,Descripción detallada del producto 56,8,1,4,106.88,53.44,7.6,True,2022-09-17,2025-05-03
57,SKU-000057,Ultra Widget 57,Descripción detallada del producto 57,9,3,6,220.38,92.56,7.6,True,2023-09-26,2024-04-07
58,SKU-000058,Ultra Equipo 58,Descripción detallada del producto 58,9,1,8,151.22,96.78,4.4,True,2023-12-18,2025-01-25
59,SKU-000059,Mega Pack 59,Descripción detallada del producto 59,6,15,2,50.53,31.83,1.5,True,2022-11-06,2025-06-17
60,SKU-000060,Ultra Equipo 60,Descripción detallada del producto 60,7,10,5,463.32,213.13,44.0,True,2023-02-19,2025-02-09
61,SKU-000061,Ultra Herramienta 61,Descripción detallada del producto 61,9,7,5,236.77,106.55,39.5,True,2023-01-08,2025-08-14
62,SKU-000062,Premium Equipo 62,Descripción detallada del producto 62,7,6,2,378.63,200.67,38.7,True,2022-05-21,2025-10-27
63,SKU-000063,Premium Pack 63,Descripción detallada del producto 63,2,2,6,7.05,3.6,5.4,True,2022-11-15,2024-05-24
64,SKU-000064,Mega Widget 64,Descripción detallada del producto 64,7,1,8,386.16,247.14,13.2,True,2022-06-27,2025-03-04
65,SKU-000065,Mini Set 65,Descripción detallada del producto 65,8,7,2,315.15,198.54,47.1,True,2022-02-18,2024-10-19
66,SKU-000066,Básico Gadget 66,Descripción detallada del producto 66,1,11,5,310.48,183.18,21.6,True,2023-10-06,2024-03-15
67,SKU-000067,Pro Herramienta 67,Descripción detallada del producto 67,4,1,4,90.33,42.46,44.3,False,2022-01-21,2025-05-01
68,SKU-000068,Elite Producto 68,Descripción detallada del producto 68,4,10,2,174.73,87.37,32.9,True,2023-08-13,2025-10-25
69,SKU-000069,Premium Artículo 69,Descripción detallada del producto 69,4,9,4,127.54,70.15,6.0,True,2022-03-28,2025-06-13
70,SKU-000070,Elite Kit 70,Descripción detallada del producto 70,1,15,4,336.06,164.67,3.2,True,2022-09-08,2024-05-28
71,SKU-000071,Pro Equipo 71,Descripción detallada del producto 71,8,11,8,208.34,127.09,9.2,True,2023-11-10,2025-06-26
72,SKU-000072,Mini Pack 72,Descripción detallada del producto 72,5,13,4,471.19,287.43,39.4,True,2023-03-20,2024-07-04
73,SKU-000073,Max Producto 73,Descripción detallada del producto 73,10,8,7,478.22,196.07,11.0,True,2023-02-06,2024-10-30
74,SKU-000074,Super Herramienta 74,Descripción detallada del producto 74,4,3,8,156.04,84.26,47.8,True,2023-09-24,2024-11-13
75,SKU-000075,Ultra Equipo 75,Descripción detallada del producto 75,6,2,1,293.85,161.62,18.0,True,2023-09-01,2024-04-02
76,SKU-000076,Mini Equipo 76,Descripción detallada del producto 76,2,4,1,264.16,184.91,3.4,True,2022-07-05,2024-01-05
77,SKU-000077,Ultra Equipo 77,Descripción detallada del producto 77,8,6,7,22.82,11.18,3.3,True,2023-07-10,2024-01-18
78,SKU-000078,Elite Dispositivo 78,Descripción detallada del producto 78,5,6,3,75.28,45.17,10.1,True,2022-11-19,2025-09-10
79,SKU-000079,Mini Set 79,Descripción detallada del producto 79,4,1,4,219.91,149.54,8.0,True,2022-05-15,2024-01-24
80,SKU-000080,Super Gadget 80,Descripción detallada del producto 80,6,11,4,231.93,113.65,47.7,True,2022-07-29,2025-03-04
81,SKU-000081,Super Producto 81,Descripción detallada del producto 81,7,3,7,21.17,11.22,49.8,True,2023-12-17,2025-02-28
82,SKU-000082,Básico Artículo 82,Descripción detallada del producto 82,2,6,2,456.22,218.99,46.4,True,2023-11-09,2024-05-21
83,SKU-000083,Smart Artículo 83,Descripción detallada del producto 83,7,11,7,455.02,295.76,46.8,True,2022-06-03,2025-02-12
84,SKU-000084,Mega Set 84,Descripción detallada del producto 84,8,4,2,448.9,305.25,18.1,True,2022-12-12,2024-02-08
85,SKU-000085,Super Artículo 85,Descripción detallada del producto 85,3,9,7,276.89,143.98,9.3,True,2022-12-19,2025-08-17
86,SKU-000086,Mega Set 86,Descripción detallada del producto 86,10,6,2,432.54,255.2,16.1,True,2023-04-30,2025-08-07
87,SKU-000087,Mega Equipo 87,Descripción detallada del producto 87,7,14,6,31.74,17.14,6.1,True,2022-09-12,2024-09-15
88,SKU-000088,Ultra Widget 88,Descripción detallada del producto 88,10,2,8,61.41,28.86,0.1,True,2023-04-21,2025-03-22
89,SKU-000089,Mini Kit 89,Descripción detallada del producto 89,8,11,4,123.21,67.77,20.4,True,2023-06-25,2025-06-06
90,SKU-000090,Elite Pack 90,Descripción detallada del producto 90,5,9,6,432.36,289.68,35.0,True,2023-12-08,2025-04-20
91,SKU-000091,Super Pack 91,Descripción detallada del producto 91,6,12,3,97.89,44.05,25.3,True,2023-01-06,2025-02-26
92,SKU-000092,Smart Gadget 92,Descripción detallada del producto 92,3,11,2,170.38,86.89,2.5,True,2022-06-13,2025-03-05
93,SKU-000093,Super Widget 93,Descripción detallada del producto 93,7,11,2,493.18,246.59,6.8,True,2022-10-30,2024-06-28
94,SKU-000094,Premium Producto 94,Descripción detallada del producto 94,9,13,7,491.84,329.53,16.2,True,2023-12-05,2025-06-22
95,SKU-000095,Mini Kit 95,Descripción detallada del producto 95,9,12,2,120.38,52.97,7.4,True,2023-12-26,2025-10-03
96,SKU-000096,Elite Widget 96,Descripción detallada del producto 96,10,9,7,125.55,50.22,14.2,False,2022-01-26,2025-10-27
97,SKU-000097,Mini Kit 97,Descripción detallada del producto 97,4,11,1,435.27,274.22,17.1,True,2022-08-22,2024-03-11
98,SKU-000098,Smart Producto 98,Descripción detallada del producto 98,3,4,4,463.98,190.23,21.5,True,2022-08-03,2025-02-27
99,SKU-000099,Mini Kit 99,Descripción detallada del producto 99,8,14,3,308.48,144.99,32.6,True,2023-08-18,2024-01-07
100,SKU-000100,Smart Gadget 100,Descripción detallada del producto 100,4,10,8,446.87,196.62,3.5,True,2022-06-05,2025-01-27
